Crop,District,Office Name,PIN-code,Price,StateName,Vendor Name,Weight,id
Cucumbers,KOKRAJHAR,Rajadabri B.O,783360,124,Assam,Rimpi Borha,3,1
Corn,CHURU,B.S.Road Churu S.O,331001,95,Rajasthan,Piranha,0.5,2
Spinach,JODHPUR,Jhinjhinyala BO,342023,134,Rajasthan,Sainit,2.5,3
Carrots,ETAH,Dalshahpur BO,207122,131.5,Uttar Pradesh,Sabeeshan,2.5,4
Capsicum,SOUTH 24 PARGANAS,Satghara Debipur BO,743395,60.25,West Bengal,Yadunandan,1,5
Sweet Potatoes,BHARUCH,Borbhathabet BO,393001,122.75,Gujarat,Jasmit,1.5,6
Potatoes,RAMANAGAR,Garakahalli B.O,562138,17.75,Karnataka,Dheertha,1,7
Wheat,CHICKMAGALUR,Sampigekhan B.O,577129,19.75,Karnataka,Ilamayuran,0.5,8
Garlic,PURULIYA,Jawrah BO,723131,421.5,West Bengal,Krithik,1.5,9
Masoor Dal,MAYURBHANJ,Budhikhamari B.O,757029,146.75,Odisha,Vanathy,1.5,10
Barley,BETUL,Sarni S.O,460447,67.75,Madhya Pradesh,Yashvan,0.5,11
Rajma,MUZAFFARNAGAR,Nala BO,247771,253.75,Uttar Pradesh,Girika,1.5,12
Grapes,AURANGABAD,Ararua BO,824202,64.75,Bihar,Nathyasri,1,13
Oats,EAST MIDNAPORE,Nimbong BO,734314,468,West Bengal,Mathurika,3,14
Tamarind,RAISEN,Bamhorititore B.O,464570,174,Madhya Pradesh,Buthaynah,1,15
Rice,BALESWAR,Khalina B.O,756034,92,Odisha,Samanwi,2,16
Onions,SUNDERGARH,Barghat B.O,770037,21.5,Odisha,Vallaki,0.5,17
Strawberry,WEST CHAMPARAN,Ghorpakari BO,845306,1212.5,Bihar,Dwijain,3,18
Garlic,YAMUNANAGAR,Tajewala B.O,135106,562,Haryana,Keval,2,19
Tamarind,SOLAPUR,Bhatambre B.O,413401,174,Maharashtra,Hensika,1,20
Strawberry,SIVAGANGA,Konthagai North BO,630612,1212.5,Tamil Nadu,Tamilarasy,3,21
Carrots,RATNAGIRI,Kasba S.O (Ratnagiri),415610,131.5,Maharashtra,Sujayath,2.5,22
Spinach,BARDHAMAN,Fagupur BO,713104,160.75,West Bengal,Mihir,3,23
Capsicum,WEST GODAVARI,Upperu,534444,150.5,Andhra Pradesh,Yaruthan,2.5,24
Grapes,West Tripura,Barmura Project B.O,799205,129.75,Tripura,Kreetanya,2,25
Wheat,SURENDRA NAGAR,Thoriyali BO,363430,59.25,Gujarat,Nigash,1.5,26
Onions,Chamrajnagar,Kudlur B.O,571342,108,Karnataka,Mukilazhagi,2.5,27
Sweet Potatoes,Kolhapur,Nandani S.O,416102,41,Maharashtra,Santhish,0.5,28
Oats,Kanker,Dhanesara B.O,494335,156,Chattisgarh,Yohana,1,29
Corn,ROHTAK,Bhali Anandpur BO,124010,284.75,Haryana,Yureka,1.5,30
Barley,KANYAKUMARI,Thengapattanam S.O,629173,406,Tamil Nadu,Karulnila,3,31
Rice,SABARKANTHA,Ratanpur BO,383430,23,Gujarat,Ushanga,0.5,32
Cucumbers,KARAULI,Morda BO,322238,124,Rajasthan,Sharihan,3,33
Rajma,DHUBRI,Dighaltari B.O,783335,507.5,Assam,Hashni,3,34
Potatoes,JAMNAGAR,Hothijikhadba BO,360530,53.5,Gujarat,Virendri,3,35
Masoor Dal,BHADRAK,Narasinghpur B.O,756168,97.75,Odisha,Harishni,1,36
Strawberry,GOPALGANJ,Jignamath BO,841438,808.25,Bihar,Apoorvan,2,37
Corn,DUNGARPUR,Varda B.O,314029,284.75,Rajasthan,Honeysha,1.5,38
Barley,RATNAGIRI,Kurwal Jawali B.O,415718,406,Maharashtra,Anja,3,39
Masoor Dal,CHANDRAPUR,Visapur B.O,442701,146.75,Maharashtra,Bhagavati,1.5,40
Tamarind,DAHOD,Mahudi BO,389170,87,Gujarat,Adanya,0.5,41
Oats,WEST GODAVARI,Munduru B.O,534450,468,Andhra Pradesh,Gobineshwary,3,42
Cucumbers,SANGAREDDY,Manur B.O,502286,82.75,Telangana,Gnya,2,43
Spinach,ALLAHABAD,Bomapur BO,212109,80.25,Uttar Pradesh,Kullalli,1.5,44
Onions,Chamrajnagar,Mullur B.O,571442,129.75,Karnataka,Gandhaa,3,45
